frame,phase,x,z,stepDistance
454,Eating,4.950000,-5.000000,0.000000
455,Eating,4.950000,-5.000000,0.000000
456,Eating,4.950000,-5.000000,0.000000
457,Eating,4.950000,-5.000000,0.000000
458,Eating,4.950000,-5.000000,0.000000
459,Eating,4.950000,-5.000000,0.000000
460,Eating,4.950000,-5.000000,0.000000
461,Eating,4.950000,-5.000000,0.000000
462,Eating,4.950000,-5.000000,0.000000
463,Eating,4.950000,-5.000000,0.000000
464,Eating,4.950000,-5.000000,0.000000
465,Eating,4.950000,-5.000000,0.000000
466,Eating,4.950000,-5.000000,0.000000
467,Eating,4.950000,-5.000000,0.000000
468,Eating,4.950000,-5.000000,0.000000
469,Eating,4.950000,-5.000000,0.000000
470,Eating,4.950000,-5.000000,0.000000
471,Eating,4.950000,-5.000000,0.000000
472,Eating,4.950000,-5.000000,0.000000
473,Eating,4.950000,-5.000000,0.000000
474,Eating,4.950000,-5.000000,0.000000
475,Eating,4.950000,-5.000000,0.000000
476,Eating,4.950000,-5.000000,0.000000
477,Eating,4.950000,-5.000000,0.000000
478,Eating,4.950000,-5.000000,0.000000
479,Eating,4.950000,-5.000000,0.000000
480,Eating,4.950000,-5.000000,0.000000
481,Eating,4.950000,-5.000000,0.000000
482,Eating,4.950000,-5.000000,0.000000
483,Eating,4.950000,-5.000000,0.000000
484,Eating,4.950000,-5.000000,0.000000
485,Eating,4.950000,-5.000000,0.000000
486,Eating,4.950000,-5.000000,0.000000
487,Eating,4.950000,-5.000000,0.000000
488,Eating,4.950000,-5.000000,0.000000
489,Eating,4.950000,-5.000000,0.000000
490,Eating,4.950000,-5.000000,0.000000
491,Eating,4.950000,-5.000000,0.000000
492,Eating,4.950000,-5.000000,0.000000
493,Eating,4.950000,-5.000000,0.000000
494,Eating,4.950000,-5.000000,0.000000
495,Eating,4.950000,-5.000000,0.000000
496,Eating,4.950000,-5.000000,0.000000
497,Eating,4.950000,-5.000000,0.000000
498,Eating,4.950000,-5.000000,0.000000
499,Eating,4.950000,-5.000000,0.000000
500,Eating,4.950000,-5.000000,0.000000
501,Eating,4.950000,-5.000000,0.000000
502,Eating,4.950000,-5.000000,0.000000
503,Eating,4.950000,-5.000000,0.000000
504,LeavingSeat,4.951359,-5.009970,0.010062
505,LeavingSeat,4.955683,-5.041676,0.032000
506,LeavingSeat,4.960006,-5.073382,0.032000
507,LeavingSeat,4.964330,-5.105089,0.032000
508,LeavingSeat,4.968653,-5.136795,0.032000
509,LeavingSeat,4.972977,-5.168501,0.032000
510,LeavingSeat,4.977300,-5.200208,0.032000
511,LeavingSeat,4.981624,-5.231914,0.032000
512,LeavingSeat,4.985947,-5.263620,0.032000
513,LeavingSeat,4.990271,-5.295327,0.032000
514,LeavingSeat,4.994594,-5.327033,0.032000
515,LeavingSeat,4.998918,-5.358739,0.032000
516,LeavingSeat,5.003241,-5.390446,0.032000
517,LeavingSeat,5.007565,-5.422152,0.032000
518,LeavingSeat,5.011888,-5.453858,0.032000
